Time Step,Health Status,dm,dmdt,domega
1717201224415405280,0.0,[0.46276288],[7.86124471e-09],1.531961950672153
1717201224478935950,0.0,[0.4949932],[7.79140542e-09],-1.539565326403166
1717201224543094425,0.0,[2.70729693],[4.21970281e-08],2.133269491993973
1717201224602872774,0.0,[1.16645921],[1.95130719e-08],-2.8457898167712723
1717201224667756873,0.0,[0.48752456],[7.51377569e-09],2.5228752235405105
1717201224726945812,0.0,[1.39594281],[2.3584522e-08],-2.046472938281524
1717201224787204040,0.0,[0.8039841],[1.33423126e-08],2.4372672602356666
1717201224847660672,0.0,[0.8213815],[1.3586293e-08],-2.674883812888174
1717201224906851925,0.0,[0.11601779],[1.96004956e-09],1.050337485334792
1717201224965417082,0.0,[1.60157502],[2.73468924e-08],0.662336122011923
1717201225023997870,0.0,[1.55700164],[2.65787082e-08],-1.828342896492544
1717201225085432699,0.0,[1.408318],[2.29237722e-08],-0.17674366847880255
1717201225145989298,0.0,[0.98181404],[1.62131637e-08],0.12188308708776677
1717201225205208346,0.0,[1.45245057],[2.45267468e-08],2.714061252152712
1717201225302211774,0.0,[1.27478274],[1.31416258e-08],-2.564126692735287
1717201225361767964,0.0,[1.53920224],[2.58445389e-08],2.454145994314965
1717201225421359362,0.0,[1.46323325],[2.45544378e-08],-2.536992169795659
1717201225479747801,0.0,[1.7894031],[3.06465314e-08],-0.06625959679590754
1717201225538449467,0.0,[2.48440735],[4.23226045e-08],-0.15573464302590126
1717201225603178437,0.9844763786362483,[2.14498815],[3.31379934e-08],0.004983753021770121
1717201225662092654,0.814473192325964,[2.10850997],[3.57894939e-08],0.017229129179342106
1717201225722795092,0.0,[1.96446527],[3.23622143e-08],0.17416927515669997
1717201225782016993,0.0,[1.45227121],[2.45225366e-08],-0.052083644373378424
1717201225841365510,0.0,[0.52216686],[8.79831371e-09],0.377520895213995
1717201225899062022,0.0,[2.67528022],[4.63681456e-08],1.8839189564868446
1717201225956323732,0.0,[2.2267755],[3.88876885e-08],-2.376187761779222
1717201226013902546,0.0,[0.86791306],[1.50734795e-08],0.20120385801532445
1717201226074298507,0.0,[2.09460312],[3.46811794e-08],2.6886865016770414
1717201226132768923,0.0,[2.3869715],[4.08235772e-08],-2.8221422768432265
1717201226190871390,0.0,[0.79571905],[1.36950994e-08],2.901806925150185
1717201226249507700,0.0,[2.11967125],[3.61494658e-08],-2.878333971215351
1717201226310151224,0.0,[0.45480614],[7.49966548e-09],2.7355680697947595
1717201226368864312,0.0,[1.96904575],[3.35367437e-08],-2.4621153878010724
1717201226426612250,0.0,[2.54950882],[4.4148916e-08],-0.2616278487662757
1717201226485122355,0.0,[2.3947416],[4.09286848e-08],-0.1255062954585236
1717201226543471008,0.0,[1.6069511],[2.75405008e-08],0.05099794542945646
1717201226636750371,0.0,[0.55063345],[5.90305767e-09],0.7729518777674299
1717201226694926380,0.0,[0.66354346],[1.14057922e-08],0.06603825990574852
1717201226754710741,0.0,[1.22814029],[2.05428357e-08],1.9689019377601473
1717201226812292430,0.0,[0.98505408],[1.7107072e-08],-2.533653183405918
1717201226867752393,0.0,[1.39611606],[2.51734045e-08],2.6063975611041035
1717201226923619885,0.0,[1.85695787],[3.32386122e-08],-2.698005724889798
1717201226978175038,0.0,[1.14354978],[2.09613527e-08],2.6938724662653177
1717201227033325212,0.0,[0.36815696],[6.67553586e-09],-1.7243157636713866
1717201227091161865,0.0,[0.7313074],[1.26443592e-08],0.8129231827753982
1717201227146798308,0.0,[0.53268531],[9.57439561e-09],0.7801240189645382
1717201227147765119,0.0,[0.75524296],[7.81169994e-07],-0.13542376236720255
1717201227257023531,0.0,[0.28713222],[2.62801017e-09],-1.501157433957546
1717201227316134830,0.0,[1.4655087],[2.47923621e-08],-0.17087403954530545
1717201227317161086,0.0,[2.90403764],[2.82974274e-06],-0.8203828294470477
1717201227374000729,0.0,[0.26163432],[4.60302554e-09],1.6415438626871839
1717201227430641717,0.0,[1.39702158],[2.46644993e-08],-0.5388321596604833
1717201227540290013,0.0,[1.78243762],[1.62559538e-08],-1.1068004303057584
1717201227597245420,0.0,[1.27143574],[2.23233548e-08],-0.0491445167978693
