Time Step,Health Status,dm,dmdt
1711587156343648416,[0.95022458],[0.04462081],[0.04462081]
1711587156411648461,[0.94917807],[0.04508744],[0.04508744]
1711587156413524459,[0.94247736],[0.04796776],[0.04796776]
1711587156415364127,[0.94682245],[0.04612051],[0.04612051]
1711587156477346431,[0.94586136],[0.04653542],[0.04653542]
1711587156479310538,[0.94477142],[0.04700152],[0.04700152]
1711587156541155636,[0.93781951],[0.04987203],[0.04987203]
1711587156543147237,[0.94820743],[0.04551596],[0.04551596]
1711587156545005530,[0.94089163],[0.04862443],[0.04862443]
1711587156546835750,[0.93099145],[0.05253896],[0.05253896]
1711587156608409058,[0.93105804],[0.0525136],[0.0525136]
1711587156610345712,[0.95115038],[0.0442039],[0.0442039]
1711587156672589657,[0.94066291],[0.04871841],[0.04871841]
1711587156674533496,[0.93724162],[0.05010325],[0.05010325]
1711587156676384626,[0.9279936],[0.05366802],[0.05366802]
1711587156739676286,[0.92744194],[0.05387321],[0.05387321]
1711587156741641806,[0.94611288],[0.0464272],[0.0464272]
1711587156743520609,[0.93230742],[0.0520356],[0.0520356]
1711587156745541746,[0.93791176],[0.04983502],[0.04983502]
1711587156808865390,[0.93023177],[0.05282735],[0.05282735]
1711587156810785723,[0.92161844],[0.05599341],[0.05599341]
1711587156873113830,[0.92742838],[0.05387824],[0.05387824]
1711587156874370717,[0.9261938],[0.05433459],[0.05433459]
1711587156875636612,[0.92507414],[0.05474518],[0.05474518]
1711587156938554273,[0.93134872],[0.05240278],[0.05240278]
1711587156940555090,[0.91477321],[0.05838726],[0.05838726]
1711587156942449463,[0.92139969],[0.05607149],[0.05607149]
1711587156944324439,[0.92794952],[0.05368444],[0.05368444]
1711587157006652689,[0.91894114],[0.05694167],[0.05694167]
1711587157008647234,[0.91767708],[0.05738394],[0.05738394]
1711587157010568088,[0.91639982],[0.05782739],[0.05782739]
1711587157073053308,[0.90638547],[0.06119298],[0.06119298]
1711587157074966157,[0.91376547],[0.05873143],[0.05873143]
1711587157076853727,[0.91245638],[0.05917554],[0.05917554]
1711587157138912096,[0.91114647],[0.05961662],[0.05961662]
1711587157140983399,[0.91865594],[0.05704176],[0.05704176]
1711587157142880968,[0.89917149],[0.06350701],[0.06350701]
1711587157206337106,[0.90717804],[0.06093339],[0.06093339]
1711587157208242851,[0.90584005],[0.06137099],[0.06137099]
1711587157210398242,[0.9045045],[0.06180469],[0.06180469]
1711587157274265373,[0.90317509],[0.0622334],[0.0622334]
1711587157276268365,[0.91145174],[0.05951412],[0.05951412]
1711587157340535622,[0.90058442],[0.06306047],[0.06306047]
1711587157343376245,[0.89921073],[0.06349465],[0.06349465]
1711587157345287220,[0.89781275],[0.06393348],[0.06393348]
1711587157347174359,[0.88576659],[0.06759687],[0.06759687]
1711587157411220933,[0.90523854],[0.0615667],[0.0615667]
1711587157413220728,[0.88269854],[0.0684986],[0.0684986]
1711587157415093409,[0.90270075],[0.06238566],[0.06238566]
