Time Step,Health Status,dm,dmdt
1711145869238910723,0,[0.54607412],[0.54607412]
1711145869241325486,[0.97419732],[0.03212642],[0.03212642]
1711145869244433874,[0.98025643],[0.02810236],[0.02810236]
1711145869248412334,[0.9742281],[0.03210726],[0.03210726]
1711145869249854459,[0.96740547],[0.03610791],[0.03610791]
1711145869251721997,[0.96743003],[0.0360943],[0.0360943]
1711145869255183746,[0.98031054],[0.02806383],[0.02806383]
1711145869258197122,[0.97430055],[0.03206209],[0.03206209]
1711145869259528835,[0.9803378],[0.02804439],[0.02804439]
1711145869381979718,0,[0.23210577],[0.23210577]
1711145869383478571,[0.97420653],[0.03212069],[0.03212069]
1711145869384178398,[0.98018415],[0.02815376],[0.02815376]
1711145869385901219,[0.94177525],[0.04825961],[0.04825961]
1711145869387522136,[0.99353632],[0.0160794],[0.0160794]
1711145869389087096,[0.96730303],[0.03616461],[0.03616461]
1711145869390218707,[0.98023922],[0.02811461],[0.02811461]
1711145869392455770,[0.97421296],[0.03211669],[0.03211669]
1711145869395342199,[0.98027466],[0.02808939],[0.02808939]
1711145869520798594,[0.29212614],[0.16827048],[0.16827048]
1711145869523399613,[0.98559915],[0.02400071],[0.02400071]
1711145869526127554,[0.96004117],[0.03997941],[0.03997941]
1711145869527743922,[0.98044189],[0.02797006],[0.02797006]
1711145869530759025,[0.9804092],[0.02799343],[0.02799343]
1711145869534175494,[0.97432165],[0.03204893],[0.03204893]
1711145869537200592,[0.97422349],[0.03211013],[0.03211013]
1711145869538640272,[0.97412546],[0.03217113],[0.03217113]
1711145869542226473,[0.97402802],[0.03223165],[0.03223165]
1711145869684852402,0,[0.32182994],[0.32182994]
1711145869687874915,[0.96745042],[0.03608301],[0.03608301]
1711145869689269361,[0.98033279],[0.02804797],[0.02804797]
1711145869691650780,[0.97434557],[0.032034],[0.032034]
1711145869693714964,[0.97437949],[0.03201282],[0.03201282]
1711145869695950875,[0.96762166],[0.03598797],[0.03598797]
1711145869697654870,[0.98043632],[0.02797405],[0.02797405]
1711145869833314072,[0.50931964],[0.14009716],[0.14009716]
1711145869835746709,[0.98989932],[0.02010042],[0.02010042]
1711145869838101367,[0.96718292],[0.03623097],[0.03623097]
1711145869839223651,[0.97406423],[0.03220917],[0.03220917]
1711145869842155051,[0.98016598],[0.02816666],[0.02816666]
1711145869844576835,[0.96726322],[0.03618662],[0.03618662]
1711145869847982557,[0.9741709],[0.03214287],[0.03214287]
1711145869849106044,[0.98024883],[0.02810777],[0.02810777]
1711145869851758084,[0.96740031],[0.03611077],[0.03611077]
1711145869854191372,[0.974279],[0.03207553],[0.03207553]
1711145869997060574,0,[0.55202472],[0.55202472]
1711145869998461861,[0.98498877],[0.02450406],[0.02450406]
1711145870001881573,[0.96612807],[0.03680865],[0.03680865]
1711145870005480848,[0.97314692],[0.03277382],[0.03277382]
1711145870008311345,[0.97306411],[0.03282431],[0.03282431]
1711145870010093479,[0.97298194],[0.03287434],[0.03287434]
1711145870013513234,[0.97925389],[0.02880702],[0.02880702]
1711145870016097771,[0.96560357],[0.03709255],[0.03709255]
1711145870157614409,0,[0.29478723],[0.29478723]
1711145870159255374,[0.91425297],[0.05856519],[0.05856519]
1711145870160325799,[0.99605133],[0.01256769],[0.01256769]
1711145870162128993,[0.97846601],[0.02934893],[0.02934893]
1711145870164148231,[0.97180403],[0.03358331],[0.03358331]
1711145870166448575,[0.97172947],[0.03362768],[0.03362768]
1711145870299089039,0,[0.27056315],[0.27056315]
1711145870301717470,[0.96340238],[0.03826101],[0.03826101]
1711145870303861286,[0.96330101],[0.03831396],[0.03831396]
1711145870304629573,[0.97093043],[0.0340996],[0.0340996]
1711145870307216533,[0.97769425],[0.02987022],[0.02987022]
1711145870309552986,[0.97764847],[0.02990086],[0.02990086]
1711145870312100443,[0.96296566],[0.03848862],[0.03848862]
1711145870440454953,0,[0.5614567],[0.5614567]
1711145870441729117,[0.97670281],[0.03052684],[0.03052684]
1711145870444351788,[0.97665448],[0.03055848],[0.03055848]
1711145870447369543,[0.9613168],[0.03933609],[0.03933609]
1711145870450063589,[0.97654455],[0.03063035],[0.03063035]
1711145870452757456,[0.96113208],[0.0394299],[0.0394299]
1711145870454039395,[0.97643218],[0.03070363],[0.03070363]
1711145870457179634,[0.96914246],[0.03513263],[0.03513263]
1711145870591131586,0,[0.32286641],[0.32286641]
1711145870593817994,[0.97566778],[0.03119757],[0.03119757]
1711145870596633482,[0.96811774],[0.03571121],[0.03571121]
1711145870599208371,[0.96800731],[0.035773],[0.035773]
1711145870600531940,[0.97542106],[0.03135534],[0.03135534]
1711145870665549708,[0.94963831],[0.04488282],[0.04488282]
1711145870668275014,[0.97522103],[0.03148268],[0.03148268]
1711145870669500655,[0.9675077],[0.03605124],[0.03605124]
1711145870844356947,0,[0.85899533],[0.85899533]
1711145870847912940,[0.96314536],[0.03839513],[0.03839513]
1711145870851226350,[0.97162361],[0.03369058],[0.03369058]
1711145870853881542,[0.96272695],[0.03861246],[0.03861246]
1711145870857001598,[0.96250053],[0.03872956],[0.03872956]
1711145870859760709,[0.97112767],[0.03398372],[0.03398372]
1711145870862293537,[0.96206726],[0.03895266],[0.03895266]
1711145870866032149,[0.92775978],[0.05375508],[0.05375508]
1711145870873528979,[0.98498175],[0.02450979],[0.02450979]
1711145870876519657,[0.95107947],[0.04423597],[0.04423597]
1711145870879777620,[0.93914788],[0.04933645],[0.04933645]
1711145870881576266,[0.9699871],[0.03464846],[0.03464846]
1711145870884476612,[0.96981761],[0.03474616],[0.03474616]
1711145870886962120,[0.9603457],[0.03982677],[0.03982677]
1711145870888188433,[0.96946032],[0.03495121],[0.03495121]
1711145870890675046,[0.95987343],[0.04006323],[0.04006323]
1711145871107066111,0,[0.62711421],[0.62711421]
1711145871111646931,[0.96591873],[0.03692223],[0.03692223]
1711145871115323436,[0.8990757],[0.06353717],[0.06353717]
1711145871117752527,[0.9823623],[0.0265614],[0.0265614]
1711145871118748339,[0.95460184],[0.04261369],[0.04261369]
1711145871121491459,[0.9650374],[0.03739658],[0.03739658]
1711145871124058342,[0.8784426],[0.06973017],[0.06973017]
1711145871275907380,0,[0.36512963],[0.36512963]
1711145871279511122,[0.95106366],[0.04424312],[0.04424312]
1711145871283015316,[0.95075516],[0.04438236],[0.04438236]
1711145871284850963,[0.96207933],[0.03894646],[0.03894646]
1711145871287926458,[0.95018296],[0.04463946],[0.04463946]
1711145871290671743,[0.93653266],[0.05038545],[0.05038545]
1711145871293193392,[0.9495222],[0.04493453],[0.04493453]
1711145871296596553,[0.94921474],[0.04507117],[0.04507117]
1711145871297943557,[0.94890101],[0.04521017],[0.04521017]
1711145871300119553,[0.96065378],[0.03967176],[0.03967176]
1711145871450550601,0,[0.57235369],[0.57235369]
1711145871452902118,[0.92958668],[0.05307102],[0.05307102]
1711145871454017098,[0.9860258],[0.0236425],[0.0236425]
1711145871455867022,[0.91222324],[0.05925428],[0.05925428]
1711145871458499695,[0.95672837],[0.04160367],[0.04160367]
1711145871461742620,[0.94318055],[0.04767366],[0.04767366]
1711145871465788659,[0.9276642],[0.05379063],[0.05379063]
1711145871467410284,[0.94250535],[0.04795609],[0.04795609]
1711145871600300984,0,[0.43133429],[0.43133429]
1711145871602643088,[0.95362351],[0.0430704],[0.0430704]
1711145871604842189,[0.90484247],[0.06169523],[0.06169523]
1711145871607062210,[0.93875477],[0.04949555],[0.04949555]
1711145871609380299,[0.95288765],[0.04341076],[0.04341076]
1711145871611025286,[0.92173876],[0.05595042],[0.05595042]
1711145871614463249,[0.9378424],[0.04986285],[0.04986285]
1711145871856396305,0,[0.58192349],[0.58192349]
1711145871858649248,[0.99075197],[0.01923333],[0.01923333]
1711145871860784187,[0.91649866],[0.0577932],[0.0577932]
1711145871861820427,[0.94926671],[0.0450481],[0.0450481]
1711145871864346903,[0.89598142],[0.06450382],[0.06450382]
1711145871866485539,[0.97389029],[0.032317],[0.032317]
1711145871868775704,[0.87308534],[0.07125017],[0.07125017]
1711145872002494891,0,[1.21630645],[1.21630645]
1711145872003743196,[0.91768494],[0.0573812],[0.0573812]
1711145872006146187,[0.93507994],[0.05095883],[0.05095883]
1711145872008421554,[0.95037752],[0.04455221],[0.04455221]
1711145872010887434,[0.91811902],[0.0572297],[0.0572297]
1711145872013242874,[0.93543201],[0.05082047],[0.05082047]
1711145872014410374,[0.95065232],[0.04442867],[0.04442867]
1711145872016645224,[0.91858154],[0.05706784],[0.05706784]
1711145872176905368,0,[0.80416696],[0.80416696]
1711145872179925016,[0.9526317],[0.04352852],[0.04352852]
1711145872181593955,[0.92192036],[0.05588547],[0.05588547]
1711145872184806852,[0.92215831],[0.05580025],[0.05580025]
1711145872187907676,[0.95304696],[0.0433373],[0.0433373]
1711145872190776937,[0.93883739],[0.04946215],[0.04946215]
1711145872193405419,[0.88476578],[0.06789233],[0.06789233]
1711145872194677549,[0.98480277],[0.02465541],[0.02465541]
1711145872336800685,0,[0.34311627],[0.34311627]
1711145872338708760,[0.92500002],[0.05477225],[0.05477225]
1711145872341436721,[0.94096326],[0.04859495],[0.04859495]
1711145872342764989,[0.94117222],[0.04850888],[0.04850888]
1711145872345591277,[0.92583507],[0.05446648],[0.05446648]
1711145872348546081,[0.96714807],[0.0362502],[0.0362502]
1711145872477498916,0,[0.39529662],[0.39529662]
1711145872480874454,[0.96829761],[0.03561033],[0.03561033]
1711145872485033880,[0.92895041],[0.05331026],[0.05331026]
1711145872487417503,[0.94411514],[0.04727996],[0.04727996]
1711145872488397946,[0.95738356],[0.0412875],[0.0412875]
1711145872490103423,[0.89527192],[0.06472344],[0.06472344]
1711145872493685920,[0.97845744],[0.02935477],[0.02935477]
1711145872495754552,[0.9450436],[0.04688556],[0.04688556]
1711145872498064074,[0.91455593],[0.05846164],[0.05846164]
1711145872645587902,0,[0.59257671],[0.59257671]
1711145872648092156,[0.94873618],[0.04528303],[0.04528303]
1711145872650437146,[0.94898184],[0.0451744],[0.0451744]
1711145872652421217,[0.93575968],[0.05069135],[0.05069135]
1711145872653321276,[0.97157593],[0.03371888],[0.03371888]
1711145872655283685,[0.93634098],[0.05046148],[0.05046148]
1711145872861180883,0,[0.83151438],[0.83151438]
1711145872863457352,[0.95442908],[0.04269469],[0.04269469]
1711145872866507930,[0.95465227],[0.04259001],[0.04259001]
1711145872868739092,[0.91477085],[0.05838806],[0.05838806]
1711145872871406017,[0.9887832],[0.02118188],[0.02118188]
1711145872875162934,[0.94343813],[0.04756548],[0.04756548]
1711145872879055973,[0.95554345],[0.04216944],[0.04216944]
1711145872881614060,[0.96612028],[0.03681289],[0.03681289]
1711145872884181113,[0.94427035],[0.04721426],[0.04721426]
1711145872886726656,[0.96645315],[0.0366316],[0.0366316]
1711145872890854887,[0.93189382],[0.05219432],[0.05219432]
1711145872893782805,[0.96680505],[0.03643896],[0.03643896]
1711145872896646772,[0.95683958],[0.04155017],[0.04155017]
1711145873174700414,0,[1.00667444],[1.00667444]
1711145873177721755,[0.97080372],[0.03417384],[0.03417384]
1711145873180415481,[0.94070659],[0.04870048],[0.04870048]
1711145873182900699,[0.97108731],[0.03400746],[0.03400746]
1711145873185659459,[0.96239691],[0.03878303],[0.03878303]
1711145873344090513,0,[0.38309503],[0.38309503]
1711145873347601140,[0.79859209],[0.08975699],[0.08975699]
1711145873350114411,[0.92032867],[0.05645222],[0.05645222]
1711145873351675493,[1.],[0.],[0.]
1711145873355410499,[0.95543599],[0.04222038],[0.04222038]
1711145873356679243,[0.96494738],[0.03744469],[0.03744469]
1711145873535957144,0,[0.63379856],[0.63379856]
1711145873539473210,[0.97508287],[0.03157032],[0.03157032]
1711145873542380221,[0.98175125],[0.02701759],[0.02701759]
1711145873546051622,[0.95908721],[0.04045382],[0.04045382]
1711145873547052574,[0.97535073],[0.03140017],[0.03140017]
1711145873549791155,[0.95940657],[0.04029562],[0.04029562]
1711145873551719179,[0.96805686],[0.03574529],[0.03574529]
1711145873553657300,[0.96817807],[0.03567741],[0.03567741]
1711145873688834548,0,[0.20825724],[0.20825724]
1711145873691605312,[0.96074737],[0.03962455],[0.03962455]
1711145873837538246,0,[0.58524638],[0.58524638]
1711145873839942088,[0.96304663],[0.03844652],[0.03844652]
1711145873843087571,[0.97089989],[0.03411751],[0.03411751]
1711145873847792338,[0.9777844],[0.0298098],[0.0298098]
1711145873851645012,[0.96339975],[0.03826238],[0.03826238]
1711145873854502219,[0.97792722],[0.02971382],[0.02971382]
1711145873856746216,[0.96362588],[0.038144],[0.038144]
1711145873858963160,[0.97135455],[0.03384994],[0.03384994]
1711145873861607362,[0.96386439],[0.03801874],[0.03801874]
1711145873864602489,[0.97820729],[0.02952471],[0.02952471]
1711145873879972982,[0.96408583],[0.03790207],[0.03790207]
1711145873881232157,[0.96420873],[0.03783716],[0.03783716]
1711145873883870167,[0.98898259],[0.02099277],[0.02099277]
1711145874026277561,[0.95605156],[0.04192776],[0.04192776]
1711145874031193828,[0.9719699],[0.03348439],[0.03348439]
1711145874032439778,[0.9720516],[0.03343555],[0.03343555]
1711145874036080908,[0.98431943],[0.02504442],[0.02504442]
1711145874041240354,[0.87464854],[0.07081002],[0.07081002]
1711145874042917969,[1.],[0.],[0.]
1711145874046812896,[0.97236518],[0.03324745],[0.03324745]
1711145874048347476,[0.97244373],[0.03320016],[0.03320016]
1711145874195012438,0,[0.45584741],[0.45584741]
1711145874196514858,[0.97355232],[0.03252548],[0.03252548]
1711145874199717536,[0.97362233],[0.03248241],[0.03248241]
1711145874202646632,[0.97369162],[0.03243972],[0.03243972]
1711145874205434280,[0.97375992],[0.03239758],[0.03239758]
1711145874207073812,[0.97382777],[0.03235567],[0.03235567]
1711145874210089603,[0.97389544],[0.03231381],[0.03231381]
1711145874213592737,[0.96705127],[0.03630357],[0.03630357]
1711145874456615745,0,[0.70227899],[0.70227899]
1711145874458136030,[0.97429438],[0.03206594],[0.03206594]
1711145874461199817,[0.97435425],[0.03202858],[0.03202858]
1711145874464476782,[0.97441401],[0.03199124],[0.03199124]
1711145874468182418,[0.96012608],[0.03993691],[0.03993691]
1711145874471122313,[0.97454654],[0.03190828],[0.03190828]
1711145874472198218,[0.98055474],[0.02788925],[0.02788925]
