Time Step,Health Status,dm,dmdt
1711147925571196692,[0.97969896],[0.02849635],[0.02849635]
1711147925575559075,[0.97959527],[0.02856903],[0.02856903]
1711147925742888539,0,[0.53010515],[0.53010515]
1711147925746527396,[0.97759205],[0.02993857],[0.02993857]
1711147925749808097,[0.98734324],[0.02250046],[0.02250046]
1711147925752846556,[0.97139566],[0.03382564],[0.03382564]
1711147925755521430,[0.97124298],[0.03391579],[0.03391579]
1711147925760902277,[0.93961056],[0.04914853],[0.04914853]
1711147925762540127,[0.99676887],[0.01136861],[0.01136861]
1711147925765856415,[0.98704149],[0.02276709],[0.02276709]
1711147925925297169,0,[0.40473301],[0.40473301]
1711147925927899422,[0.98121671],[0.02741043],[0.02741043]
1711147925930573715,[0.9688125],[0.03531997],[0.03531997]
1711147925933313044,[0.9686573],[0.03540774],[0.03540774]
1711147925935996144,[0.98095577],[0.02760017],[0.02760017]
1711147925937063777,[0.97502278],[0.03160837],[0.03160837]
1711147925940114865,[0.96823982],[0.03564277],[0.03564277]
1711147926098898120,0,[0.50540906],[0.50540906]
1711147926102760834,[0.96725038],[0.03619371],[0.03619371]
1711147926105490294,[0.98019894],[0.02814325],[0.02814325]
1711147926110061109,[0.96728592],[0.03617407],[0.03617407]
1711147926112003350,[0.97416766],[0.03214488],[0.03214488]
1711147926116324668,[0.95119469],[0.04418385],[0.04418385]
1711147926370821544,0,[0.85859065],[0.85859065]
1711147926375180052,[0.98030498],[0.02806779],[0.02806779]
1711147926378609048,[0.96747784],[0.0360678],[0.0360678]
1711147926379997343,[0.93225173],[0.052057],[0.052057]
1711147926382070018,[0.9983982],[0.00800449],[0.00800449]
1711147926384431012,[0.96758777],[0.03600679],[0.03600679]
1711147926387914785,[0.97442416],[0.03198489],[0.03198489]
1711147926391364253,[0.97445463],[0.03196584],[0.03196584]
1711147926394919065,[0.97448511],[0.03194676],[0.03194676]
1711147926396774498,[0.97450816],[0.03193233],[0.03193233]
1711147926398607187,[0.95164294],[0.04398048],[0.04398048]
1711147926401133920,[0.99358258],[0.01602176],[0.01602176]
1711147926405729596,[0.97425757],[0.03208889],[0.03208889]
1711147926603157004,0,[0.31750001],[0.31750001]
1711147926606273768,[0.97431171],[0.03205513],[0.03205513]
1711147926607898954,[0.96753595],[0.03603556],[0.03603556]
1711147926611016908,[0.98038458],[0.02801101],[0.02801101]
1711147926614167475,[0.9743891],[0.03200681],[0.03200681]
1711147926617455198,[0.9743067],[0.03205826],[0.03205826]
1711147926621685251,[0.95968841],[0.04015549],[0.04015549]
1711147926623877727,[0.98543463],[0.02413741],[0.02413741]
1711147926804364970,0,[0.43435345],[0.43435345]
1711147926806237576,[0.9800788],[0.02822849],[0.02822849]
1711147926810865852,[0.95919012],[0.04040291],[0.04040291]
1711147926812287943,[0.99631677],[0.01213793],[0.01213793]
1711147926814978948,[0.96676529],[0.03646078],[0.03646078]
1711147926816333779,[0.97982637],[0.02840678],[0.02840678]
1711147926819577277,[0.9665392],[0.03658459],[0.03658459]
1711147926981381475,0,[0.58596679],[0.58596679]
1711147926982983265,[0.99825009],[0.00836638],[0.00836638]
1711147926985635506,[0.97195133],[0.03349548],[0.03349548]
1711147926989534623,[0.97846819],[0.02934744],[0.02934744]
1711147926993440917,[0.95592617],[0.04198754],[0.04198754]
1711147926994822660,[0.97834246],[0.029433],[0.029433]
1711147926997375286,[0.97163868],[0.03368164],[0.03368164]
1711147927000342527,[0.9782288],[0.02951013],[0.02951013]
1711147927166961704,0,[0.44671023],[0.44671023]
1711147927171290819,[0.96270085],[0.03862597],[0.03862597]
1711147927173834075,[0.97045245],[0.0343788],[0.0343788]
1711147927177781390,[0.9773281],[0.03011438],[0.03011438]
1711147927181535990,[0.97032312],[0.03445396],[0.03445396]
1711147927186089601,[0.96234787],[0.03880831],[0.03880831]
1711147927190589578,[0.97017722],[0.03453854],[0.03453854]
1711147927193247499,[0.97711735],[0.03025402],[0.03025402]
1711147927353095156,0,[0.25619687],[0.25619687]
1711147927354897295,[0.99238957],[0.01744756],[0.01744756]
1711147927356150568,[0.96140038],[0.03929357],[0.03929357]
1711147927358807988,[0.97659776],[0.03059558],[0.03059558]
1711147927360869461,[0.96122037],[0.03938509],[0.03938509]
1711147927364621266,[0.96112184],[0.03943509],[0.03943509]
1711147927366565989,[0.97642285],[0.0307097],[0.0307097]
1711147927370646301,[0.96093722],[0.03952861],[0.03952861]
1711147927521726862,0,[0.46104132],[0.46104132]
1711147927523008049,[0.97542074],[0.03135555],[0.03135555]
1711147927526950638,[0.96779051],[0.035894],[0.035894]
1711147927529310641,[0.97525351],[0.03146203],[0.03146203]
1711147927536001372,[0.95893196],[0.0405305],[0.0405305]
1711147927539098175,[0.96741878],[0.03610054],[0.03610054]
1711147927542326063,[0.97496069],[0.03164763],[0.03164763]
1711147927716460620,0,[0.62819285],[0.62819285]
1711147927719889523,[0.95467973],[0.04257712],[0.04257712]
1711147927723214199,[0.96397407],[0.03796099],[0.03796099]
1711147927725888938,[0.97226781],[0.03330597],[0.03330597]
1711147927730855291,[0.95388826],[0.04294729],[0.04294729]
1711147927908276168,0,[0.62726238],[0.62726238]
1711147927909780849,[1.],[0.],[0.]
1711147927911112986,[0.96896295],[0.03523467],[0.03523467]
1711147927913927601,[0.95922218],[0.04038704],[0.04038704]
1711147927916540745,[0.9480263],[0.04559548],[0.04559548]
1711147927919194027,[0.96835456],[0.03557833],[0.03557833]
1711147927921695785,[0.95841319],[0.04078569],[0.04078569]
1711147927922854525,[0.95814141],[0.04091874],[0.04091874]
1711147928084582228,0,[0.29545984],[0.29545984]
