Time Step,Health Status,dm,dmdt
1711153636495710847,[0.98437471],[0.02500023],[0.02500023]
1711153636498212195,[0.99048724],[0.01950667],[0.01950667]
1711153636499007253,[0.98751136],[0.02235052],[0.02235052]
1711153636500599995,[0.98038598],[0.02801001],[0.02801001]
1711153636502112153,[0.99034011],[0.01965694],[0.01965694]
1711153636503461631,[0.9873504],[0.02249409],[0.02249409]
1711153636505193379,[0.98750118],[0.02235963],[0.02235963]
1711153636643518851,0,[0.20227293],[0.20227293]
1711153636645530162,[0.98688601],[0.02290326],[0.02290326]
1711153636646788717,[0.98687801],[0.02291025],[0.02291025]
1711153636648932457,[0.98329589],[0.02584887],[0.02584887]
1711153636650537382,[0.98981727],[0.02018191],[0.02018191]
1711153636652721103,[0.98653482],[0.02320791],[0.02320791]
1711153636654435307,[0.98268367],[0.02631831],[0.02631831]
1711153636655458493,[0.9892632],[0.0207237],[0.0207237]
1711153636796566527,0,[0.21926249],[0.21926249]
1711153636800275583,[0.99193422],[0.01796193],[0.01796193]
1711153636802581377,[0.96733277],[0.03614815],[0.03614815]
1711153636804625181,[0.99429856],[0.01510157],[0.01510157]
1711153636805889617,[0.98880633],[0.02116003],[0.02116003]
1711153636810994847,[0.9259783],[0.05441386],[0.05441386]
1711153636812109206,[0.99177089],[0.01814289],[0.01814289]
1711153636933092832,0,[0.22698299],[0.22698299]
1711153636935569924,[0.98461703],[0.02480562],[0.02480562]
1711153636937164310,[0.98479949],[0.02465807],[0.02465807]
1711153636939782433,[0.98497336],[0.02451664],[0.02451664]
1711153636942413543,[0.98111359],[0.02748557],[0.02748557]
1711153636945086099,[0.98854],[0.02141028],[0.02141028]
1711153636948488678,[0.98071675],[0.02777283],[0.02777283]
1711153637079143216,0,[0.2226919],[0.2226919]
1711153637080971782,[0.97434676],[0.03203326],[0.03203326]
1711153637082525815,[0.96888282],[0.03528012],[0.03528012]
1711153637083607320,[0.99768655],[0.00961967],[0.00961967]
1711153637085950235,[0.97425593],[0.03208992],[0.03208992]
1711153637088540513,[0.98347526],[0.02570972],[0.02570972]
1711153637091718875,[0.98733351],[0.0225091],[0.0225091]
1711153637093124810,[0.98340692],[0.02576282],[0.02576282]
1711153637242739028,0,[0.44631124],[0.44631124]
1711153637245796889,[0.89895146],[0.06357627],[0.06357627]
1711153637247024342,[0.98984575],[0.02015366],[0.02015366]
1711153637249788661,[0.97709202],[0.03027077],[0.03027077]
1711153637252419944,[0.98605367],[0.02361892],[0.02361892]
1711153637254831881,[0.98599953],[0.02366472],[0.02366472]
1711153637380458166,0,[0.25044927],[0.25044927]
1711153637382325292,[0.97543686],[0.03134526],[0.03134526]
1711153637384249688,[0.98506441],[0.02444225],[0.02444225]
1711153637385235812,[0.98040183],[0.02799869],[0.02799869]
1711153637387104491,[0.9803029],[0.02806927],[0.02806927]
1711153637389301076,[0.97492516],[0.03167007],[0.03167007]
1711153637532280077,[0.044703],[0.19547859],[0.19547859]
1711153637533526417,[0.98434185],[0.02502651],[0.02502651]
1711153637535593536,[0.9740202],[0.0322365],[0.0322365]
1711153637538054710,[0.97936865],[0.02872723],[0.02872723]
1711153637539339013,[0.97925138],[0.02880876],[0.02880876]
1711153637542145753,[0.97913074],[0.0288924],[0.0288924]
1711153637544671758,[0.97344349],[0.03259234],[0.03259234]
1711153637547652432,[0.97890016],[0.02905157],[0.02905157]
1711153637549763123,[0.97879799],[0.02912182],[0.02912182]
1711153637550794573,[0.98369485],[0.02553833],[0.02553833]
1711153637706912953,0,[0.47680281],[0.47680281]
1711153637709811111,[0.97067691],[0.03424797],[0.03424797]
1711153637711090144,[0.98217463],[0.02670234],[0.02670234]
1711153637713271992,[0.97661178],[0.03058641],[0.03058641]
1711153637715173794,[0.97649905],[0.03066004],[0.03066004]
1711153637717755755,[0.97638718],[0.03073292],[0.03073292]
1711153637720672818,[0.96290958],[0.03851775],[0.03851775]
1711153637723514155,[0.95484415],[0.04249981],[0.04249981]
1711153637724753984,[0.99400265],[0.01548852],[0.01548852]
1711153637858066832,0,[0.21086728],[0.21086728]
1711153637860613215,[0.96116555],[0.03941292],[0.03941292]
1711153637861597596,[0.98087796],[0.02765649],[0.02765649]
1711153637864207095,[0.98080115],[0.02771198],[0.02771198]
1711153637866354527,[0.9681178],[0.03571118],[0.03571118]
1711153637868640137,[0.96795381],[0.0358029],[0.0358029]
1711153637871148971,[0.98052574],[0.02791004],[0.02791004]
1711153638022595738,0,[0.57795653],[0.57795653]
1711153638024376409,[0.98030378],[0.02806865],[0.02806865]
1711153638026079733,[0.96745709],[0.03607931],[0.03607931]
1711153638027010130,[0.97430036],[0.03206222],[0.03206222]
1711153638029119860,[0.98033764],[0.02804451],[0.02804451]
1711153638031263154,[0.96751249],[0.03604858],[0.03604858]
1711153638033595369,[0.97434496],[0.03203438],[0.03203438]
1711153638034918416,[0.98037044],[0.0280211],[0.0280211]
1711153638235762395,0,[0.90240129],[0.90240129]
1711153638237910237,[0.97433645],[0.0320397],[0.0320397]
1711153638239982826,[0.97436533],[0.03202166],[0.03202166]
1711153638243086745,[0.98039618],[0.02800273],[0.02800273]
1711153638244260397,[0.96758754],[0.03600692],[0.03600692]
1711153638246551463,[0.97429847],[0.0320634],[0.0320634]
1711153638249049745,[0.98025416],[0.02810398],[0.02810398]
